measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,China,Both,All ages,Non-Hodgkin lymphoma,Number,1980,20955.43620943038,25315.583860037732,17363.544059858225
Deaths,China,Both,All ages,Non-Hodgkin lymphoma,Rate,1980,2.161143692781819,2.6108077083878047,1.7907102173523233
Deaths,China,Both,All ages,Multiple myeloma,Number,1980,1672.9863715642275,2766.5718960676895,1100.2589499380224
Deaths,China,Both,All ages,Multiple myeloma,Rate,1980,0.17253584744701653,0.28531782130707783,0.11347020726847179
Deaths,China,Both,All ages,Leukemia,Number,1980,70609.39876755241,86669.93445580824,52502.852710675186
Deaths,China,Both,All ages,Leukemia,Rate,1980,7.281979495561177,8.938309865327069,5.414643143418144
Deaths,China,Both,All ages,Other malignant neoplasms,Number,1980,32075.662786028708,42623.46618664467,23226.917259562208
Deaths,China,Both,All ages,Other malignant neoplasms,Rate,1980,3.3079777308871714,4.395777505805984,2.3954025693666297
Deaths,China,Both,All ages,Other neoplasms,Number,1980,4624.711912862758,7209.15719160716,2657.263998605979
Deaths,China,Both,All ages,Other neoplasms,Rate,1980,0.4769486486240969,0.743483668829722,0.2740448479931504
Deaths,China,Both,All ages,Soft tissue and other extraosseous sarcomas,Number,1980,3005.9202125333177,4371.547023783705,1935.7196275909619
Deaths,China,Both,All ages,Soft tissue and other extraosseous sarcomas,Rate,1980,0.3100019223364262,0.4508396381602258,0.1996316479577541
Deaths,China,Both,All ages,Malignant neoplasm of bone and articular cartilage,Number,1980,5641.539721198223,7363.8697533387085,4279.940919612605
Deaths,China,Both,All ages,Malignant neoplasm of bone and articular cartilage,Rate,1980,0.5818145642112146,0.759439245876111,0.44139225886107314
Deaths,China,Both,All ages,Neuroblastoma and other peripheral nervous cell tumors,Number,1980,360.3773832954455,521.8546884838496,247.6374149236505
Deaths,China,Both,All ages,Neuroblastoma and other peripheral nervous cell tumors,Rate,1980,0.03716588388552273,0.05381911200960626,0.02553895953347893
Deaths,China,Both,All ages,Esophageal cancer,Number,1980,175734.88937058885,222103.16569527838,129456.80071956513
Deaths,China,Both,All ages,Esophageal cancer,Rate,1980,18.12361928281151,22.905600765934786,13.3509388956025
Deaths,China,Both,All ages,Stomach cancer,Number,1980,325499.94308153674,436218.9514875519,236477.01414416338
Deaths,China,Both,All ages,Stomach cancer,Rate,1980,33.568957570777535,44.98745939991324,24.38798231150864
