measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Global,Both,All ages,Esophageal cancer,Number,2015,467148.3809043323,506901.394841187,428426.517489331
Deaths,Global,Both,All ages,Stomach cancer,Number,2015,897155.7534246845,977076.9497638819,779279.1719331276
Deaths,Global,Both,All ages,Liver cancer,Number,2015,440660.23837254767,471512.7251966713,412238.2520406903
Deaths,Global,Both,All ages,Larynx cancer,Number,2015,106006.39225897736,111841.55597669829,100386.96082630055
Deaths,Global,Both,All ages,"Tracheal, bronchus, and lung cancer",Number,2015,1783755.6129060972,1886263.1463472655,1670148.1680127173
Deaths,Global,Both,All ages,Neuroblastoma and other peripheral nervous cell tumors,Number,2017,5017.810816483045,5623.483370328036,4192.9861743896745
Deaths,Global,Both,All ages,Eye cancer,Number,2015,9970.931764008814,11604.006946518633,7865.079148920317
Deaths,Global,Both,All ages,Soft tissue and other extraosseous sarcomas,Number,2015,45039.98085214794,54897.868040295376,39623.63120304736
Deaths,Global,Both,All ages,Malignant neoplasm of bone and articular cartilage,Number,2015,59700.68498817089,65583.71672438885,47937.43259227435
Deaths,Global,Both,All ages,Breast cancer,Number,2013,554840.229849956,578342.1829338392,523396.89311903017
Deaths,Global,Both,All ages,Cervical cancer,Number,2013,258751.16614267463,275005.021613126,242248.53346730125
Deaths,Global,Both,All ages,Uterine cancer,Number,2013,78971.21090564072,85364.49550943276,70631.86182954184
Deaths,Global,Both,All ages,Prostate cancer,Number,2013,351242.3957010578,374589.5225284536,311829.8441628672
Deaths,Global,Both,All ages,Colon and rectum cancer,Number,2013,871165.3179562066,911649.2662449303,812888.7815310244
Deaths,Global,Both,All ages,Lip and oral cavity cancer,Number,2013,167105.22347828175,174406.48723835187,158509.26972501044
Deaths,Global,Both,All ages,Nasopharynx cancer,Number,2013,64986.69356092831,69210.2037337918,60962.685176376086
Deaths,Global,Both,All ages,Other pharynx cancer,Number,2013,76178.82798681903,80280.55293560142,71876.2063193539
Deaths,Global,Both,All ages,Gallbladder and biliary tract cancer,Number,2013,142579.11716522515,159705.43757176035,120914.8671114115
Deaths,Global,Both,All ages,Pancreatic cancer,Number,2013,399294.8901312913,417068.76030640205,373084.37092634186
Deaths,Global,Both,All ages,Malignant skin melanoma,Number,2013,57091.86108956723,60425.0070937842,51791.51501247015
Deaths,Global,Both,All ages,Non-melanoma skin cancer,Number,2013,46467.67226443977,50361.82689529213,40050.15568226214
Deaths,Global,Both,All ages,Ovarian cancer,Number,2013,155645.3631424517,164848.73677503198,142377.90268318015
Deaths,Global,Both,All ages,Testicular cancer,Number,2013,9604.930237212897,9942.667114459764,9268.377270478959
