measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,South Asia,Both,Age-standardized,Soft tissue and other extraosseous sarcomas,Rate,1981,0.885859126554754,1.0808042193667147,0.5502505808729363
Deaths,South Asia,Both,Age-standardized,Malignant neoplasm of bone and articular cartilage,Rate,1981,0.7459835120471161,0.8809592316521373,0.5465945767833705
Deaths,South Asia,Both,Age-standardized,Neuroblastoma and other peripheral nervous cell tumors,Rate,1981,0.02625874478080388,0.03862760447782503,0.016951903932591317
Deaths,Latin America and Caribbean,Both,Age-standardized,Neoplasms,Rate,1980,127.14916249168867,130.7241174190468,122.17313320873203
Deaths,Latin America and Caribbean,Both,Age-standardized,Esophageal cancer,Rate,1980,5.25306149845974,5.417708549675034,5.046287586391098
Deaths,Sub-Saharan Africa,Both,Age-standardized,Eye cancer,Rate,1980,0.7318312028759151,0.9741440877668361,0.5546424118443429
Deaths,Sub-Saharan Africa,Both,Age-standardized,Soft tissue and other extraosseous sarcomas,Rate,1980,1.2488564643513116,1.8842153594686106,0.965980206246885
Deaths,Sub-Saharan Africa,Both,Age-standardized,Malignant neoplasm of bone and articular cartilage,Rate,1980,0.9196281498847152,1.1500746904167243,0.7401825823167362
Deaths,Sub-Saharan Africa,Both,Age-standardized,Neuroblastoma and other peripheral nervous cell tumors,Rate,1980,0.028974229124284743,0.047531967294164895,0.01834916225646505
Deaths,Latin America and Caribbean,Both,Age-standardized,Stomach cancer,Rate,1980,24.745224132692773,25.83833689184286,23.517447831318613
Deaths,Latin America and Caribbean,Both,Age-standardized,Multiple myeloma,Rate,1982,1.0967936736014587,1.165423234489532,1.03486965742725
Deaths,Latin America and Caribbean,Both,Age-standardized,Leukemia,Rate,1982,5.0417021987038995,5.310392702212984,4.817595277956748
Deaths,Latin America and Caribbean,Both,Age-standardized,Other malignant neoplasms,Rate,1982,3.517440239288354,3.6500596884888927,3.344409626837944
Deaths,Latin America and Caribbean,Both,Age-standardized,Other neoplasms,Rate,1982,0.32614942317819456,0.4312004667884794,0.25191298980288646
Deaths,Global,Both,Age-standardized,Breast cancer,Rate,1980,9.082939389408669,9.560537457975615,8.531880757959593
Deaths,Global,Both,Age-standardized,Cervical cancer,Rate,1980,5.964109565241301,6.686846221333796,5.483371248855524
Deaths,Global,Both,Age-standardized,Uterine cancer,Rate,1980,1.6300528046089873,1.7757559007140944,1.45713302238046
Deaths,Global,Both,Age-standardized,Prostate cancer,Rate,1980,5.8467630753914515,6.2227853280963386,5.348868510010769
Deaths,Global,Both,Age-standardized,Colon and rectum cancer,Rate,1980,16.028748233962208,17.269690847608935,14.697185177889828
Deaths,Global,Both,Age-standardized,Lip and oral cavity cancer,Rate,1980,2.4009674117438364,2.5797335841395297,2.255753128842199
Deaths,Global,Both,Age-standardized,Nasopharynx cancer,Rate,1980,1.51766780152173,1.7022492697062959,1.2938151284568675
Deaths,Global,Both,Age-standardized,Other pharynx cancer,Rate,1980,1.010121296913311,1.1262499781201063,0.9162743317633024
Deaths,Global,Both,Age-standardized,Gallbladder and biliary tract cancer,Rate,1980,2.6985271143795306,2.992987334722325,2.4005315411227284
Deaths,Global,Both,Age-standardized,Pancreatic cancer,Rate,1980,5.506749927928487,5.961967104016234,5.132425415521373
Deaths,Global,Both,Age-standardized,Malignant skin melanoma,Rate,1980,0.784046633607024,0.835935842785404,0.7171570804946155
Deaths,Global,Both,Age-standardized,Non-melanoma skin cancer,Rate,1980,0.6735486146605367,0.7396916880864367,0.6079974091372996
Deaths,Global,Both,Age-standardized,Ovarian cancer,Rate,1980,2.548464250380949,2.818426878259742,2.361974314596845
Deaths,Global,Both,Age-standardized,Testicular cancer,Rate,1980,0.1850320558900659,0.1981234872403659,0.17435983477516054
Deaths,Global,Both,Age-standardized,Kidney cancer,Rate,1980,1.8809326023662987,1.9533633870114953,1.8052752293639625
Deaths,Global,Both,Age-standardized,Bladder cancer,Rate,1980,3.592641073730083,3.81795681020757,3.308014702386173
Deaths,Global,Both,Age-standardized,Brain and central nervous system cancer,Rate,1980,2.8887103176085853,3.350720468344191,2.450338071817049
Deaths,Global,Both,Age-standardized,Thyroid cancer,Rate,1980,0.5886410310582768,0.6437144077602315,0.5467037194366265
Deaths,Global,Both,Age-standardized,Mesothelioma,Rate,1980,0.41584220509410225,0.4687425166898874,0.36549667768908034
Deaths,Global,Both,Age-standardized,Hodgkin lymphoma,Rate,1980,0.7846360994286177,0.889601698343926,0.5986450055511993
Deaths,Global,Both,Age-standardized,Non-Hodgkin lymphoma,Rate,1980,3.2596867264823803,3.566080231757654,2.99265177284855
Deaths,Global,Both,Age-standardized,Multiple myeloma,Rate,1980,1.1755556431978311,1.2737815282405378,1.081381043392751
Deaths,Global,Both,Age-standardized,Leukemia,Rate,1980,5.950594039447485,6.703221107880921,5.260034631691388
Deaths,Global,Both,Age-standardized,Other malignant neoplasms,Rate,1980,3.6529290136560384,4.0467459870403095,3.2505019785965397
Deaths,Global,Both,Age-standardized,Other neoplasms,Rate,1980,0.5547766682066497,0.7790995151675315,0.43776243494303796
Deaths,"Southeast Asia, East Asia, and Oceania",Both,Age-standardized,Neoplasms,Rate,1980,179.54066233400997,208.6680805848159,155.62575006156882
Deaths,"Southeast Asia, East Asia, and Oceania",Both,Age-standardized,Esophageal cancer,Rate,1980,22.866200354111623,27.587648512384863,18.395987201308817
Deaths,"Southeast Asia, East Asia, and Oceania",Both,Age-standardized,Stomach cancer,Rate,1980,45.04689935696869,53.40602017883208,36.99535298220228
Deaths,"Southeast Asia, East Asia, and Oceania",Both,Age-standardized,Liver cancer,Rate,1980,12.187813833502636,15.108723965474274,9.54030976848995
Deaths,"Southeast Asia, East Asia, and Oceania",Both,Age-standardized,Larynx cancer,Rate,1980,1.5826898334024255,1.9409567129127319,1.2708164645552165
Deaths,"Southeast Asia, East Asia, and Oceania",Both,Age-standardized,"Tracheal, bronchus, and lung cancer",Rate,1980,31.02051009226371,38.353077978325395,25.36623534886169
Deaths,"Southeast Asia, East Asia, and Oceania",Both,Age-standardized,Breast cancer,Rate,1980,5.460415207383672,6.6283278570819775,4.499740810370069
Deaths,"Southeast Asia, East Asia, and Oceania",Both,Age-standardized,Cervical cancer,Rate,1980,5.314075189687094,6.335547563089883,4.417019514556296
