"","country_trial","n_trials","total_target","country_std"
"1","??",3,1120,"??"
"2","Afghanistan",1,600,"Afghanistan"
"3","Africa",1,60,"Africa"
"4","Albania",1,100,"Albania"
"5","Algeria",1,80,"Algeria"
"6","America",2,20,"America"
"7","Andorra",2,268,"Andorra"
"8","Arabia Saudi",1,20,"Arabia Saudi"
"9","Argentina",165,115158,"Argentina"
"10","Armenia",6,871,"Armenia"
"11","Asia(Except Japan)",1,50,"Asia(Except Japan)"
"12","Australia",841,333797,"Australia"
"13","Austria",204,120040,"Austria"
"14","Bangladesh",5,595,"Bangladesh"
"15","Belarus",11,8587,"Belarus"
"16","Belgium",477,211111,"Belgium"
"17","Bosnia & Herzegovina",1,46,"Bosnia & Herzegovina"
"18","Bosnia And Herzegovina",14,8539,"Bosnia And Herzegovina"
"19","Botswana",1,680,"Botswana"
"20","Brazil",416,158001,"Brazil"
"21","Bulgaria",73,37169,"Bulgaria"
"22","Cambodia",1,800,"Cambodia"
"23","Cameroon",6,15208,"Cameroon"
"24","Canada",771,357039,"Canada"
"25","Chian",5,11230,"Chian"
"26","Chile",140,75452,"Chile"
"27","China",7107,3623915,"China"
"28","Cinia",1,367,"Cinia"
"29","Colombia",55,40310,"Colombia"
"30","Costa Rica",16,11938,"Costa Rica"
"31","Croatia",20,23650,"Croatia"
"32","Cuba",4,154,"Cuba"
"33","Cyprus",13,2189,"Cyprus"
"34","Czechia",173,132513,"Czechia"
"35","Denmark",284,86176,"Denmark"
"36","Dominican Republic",1,1246,"Dominican Republic"
"37","Ecuador",2,1360,"Ecuador"
"38","Egypt",131,15190,"Egypt"
"39","Estonia",21,43562,"Estonia"
"40","Ethiopia",4,1753,"Ethiopia"
"41","Europe",1,122,"Europe"
"42","Finland",96,101344,"Finland"
"43","France",1077,617184,"France"
"44","French Polynesia",1,10000,"French Polynesia"
"45","Gambia",1,1720,"Gambia"
"46","Georgia",56,31489,"Georgia"
"47","Germany",738,423424,"Germany"
"48","Ghana",1,1320,"Ghana"
"49","Greece",174,92831,"Greece"
"50","Guadeloupe",2,3346,"Guadeloupe"
"51","Guam",4,2765,"Guam"
"52","Guatemala",16,13688,"Guatemala"
"53","Hellenic Republic",1,430,"Hellenic Republic"
"54","Hina",1,51,"Hina"
"55","Hong Kong",157,95668,"Hong Kong"
"56","Hungary",185,115515,"Hungary"
