measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Global,Both,All ages,Gallbladder and biliary tract cancer,Number,1980,77848.90647270324,86781.06347299632,71748.77724350146
Deaths,Global,Both,All ages,Gallbladder and biliary tract cancer,Percent,1980,0.0016930838631377362,0.0018912887849354808,0.0015590762892556675
Deaths,Global,Both,All ages,Gallbladder and biliary tract cancer,Rate,1980,1.7418778825654417,1.9417358822133635,1.6053868171596184
Deaths,Global,Both,All ages,Pancreatic cancer,Number,1980,164723.0120538587,175366.98434016458,155114.5054110756
Deaths,Global,Both,All ages,Pancreatic cancer,Percent,1980,0.003582463503670947,0.003816737344571852,0.0033787859251235264
Deaths,Global,Both,All ages,Pancreatic cancer,Rate,1980,3.6856955922275487,3.9238556480101794,3.4707041946102235
Deaths,Global,Both,All ages,Malignant skin melanoma,Number,1980,23886.20643778895,26246.056981783873,21882.421526966176
Deaths,Global,Both,All ages,Malignant skin melanoma,Percent,1980,0.0005194958742513456,0.0005713072746822471,0.0004751961904046972
Deaths,Global,Both,All ages,Malignant skin melanoma,Rate,1980,0.5344565078375992,0.5872584244603599,0.4896215990928706
Deaths,Global,Both,All ages,Non-melanoma skin cancer,Number,1980,17739.906711749514,19845.713002647066,15825.84720492781
Deaths,Global,Both,All ages,Non-melanoma skin cancer,Percent,1980,0.00038580868626573826,0.0004312295341375221,0.0003431884081506709
Deaths,Global,Both,All ages,Non-melanoma skin cancer,Rate,1980,0.396932372464418,0.44405002085897577,0.35410507954649034
Deaths,Global,Both,All ages,Ovarian cancer,Number,1980,85105.70783769272,94834.8296432997,77545.33878392914
Deaths,Global,Both,All ages,Ovarian cancer,Percent,1980,0.0018509194361951739,0.00206184951640664,0.001685674514804095
Deaths,Global,Both,All ages,Ovarian cancer,Rate,1980,1.9042496147910954,2.1219397900013837,1.7350855219929455
Deaths,Global,Both,All ages,Testicular cancer,Number,1980,6991.741582454507,8034.794458705352,6141.94951819176
Deaths,Global,Both,All ages,Testicular cancer,Percent,1980,0.00015205809853241874,0.00017483204822640904,0.0001339594285078119
Deaths,Global,Both,All ages,Testicular cancer,Rate,1980,0.15644099030936204,0.17977941364514374,0.13742679899200644
Deaths,Global,Both,All ages,Kidney cancer,Number,1980,59849.60169906651,64605.56472850605,55717.19149416738
Deaths,Global,Both,All ages,Kidney cancer,Percent,1980,0.0013016224835690393,0.0014083840200543871,0.0012103328539050768
Deaths,Global,Both,All ages,Kidney cancer,Rate,1980,1.339141449809693,1.4455566480011341,1.2466783149533873
Deaths,Global,Both,All ages,Bladder cancer,Number,1980,95688.8636264104,104656.35923119207,88832.7027910892
Deaths,Global,Both,All ages,Bladder cancer,Percent,1980,0.0020810771575076703,0.002272564301273501,0.0019393962197030822
Deaths,Global,Both,All ages,Bladder cancer,Rate,1980,2.14104889472158,2.3416975995489135,1.987641538607403
Deaths,Global,Both,All ages,Brain and central nervous system cancer,Number,1980,115360.12131142546,131679.24505261736,99711.31203813969
Deaths,Global,Both,All ages,Brain and central nervous system cancer,Percent,1980,0.0025088350572512364,0.002873638073689995,0.0021795919150324685
Deaths,Global,Both,All ages,Brain and central nervous system cancer,Rate,1980,2.5811954585758565,2.9463376551152263,2.231051622307852
Deaths,Global,Both,All ages,Thyroid cancer,Number,1980,19701.64001373407,22089.364700641778,17207.54565390969
Deaths,Global,Both,All ages,Thyroid cancer,Percent,1980,0.000428481986330903,0.00048182253172229615,0.0003763840758406285
Deaths,Global,Both,All ages,Thyroid cancer,Rate,1980,0.44082637181580486,0.4942519754655923,0.3850207349834798
Deaths,Global,Both,All ages,Mesothelioma,Number,1980,11217.022894046446,12676.186043220385,9958.270165592
