Sponsor_raw,Sponsor_clean,Sponsor_type
Sun Yat-sen University,Sun Yat-sen University,Academic
"General University Hospital, Prague","General University Hospital, Prague",Hospital / medical center
"University of Wisconsin, Milwaukee",University of Wisconsin Milwaukee,Academic
UNICANCER,UNICANCER,Cooperative group / network
GOG Foundation,GOG Foundation,Cooperative group / network
Antonios Likourezos,Antonios Likourezos,Individual
Fred Hutchinson Cancer Center,Fred Hutchinson Cancer Center,Hospital / medical center
Alliance for Clinical Trials in Oncology,Alliance for Clinical Trials in Oncology,Cooperative group / network
"Johnson & Johnson Pharmaceutical Research & Development, L.L.C.",Johnson & Johnson Pharmaceutical Research & Development,Industry
"Sixth Affiliated Hospital, Sun Yat-sen University",Sun Yat-sen University,Academic
Chuangzhen Chen,Chuangzhen Chen,Individual
Alliance for Clinical Trials in Oncology,Alliance for Clinical Trials in Oncology,Cooperative group / network
Daiichi Sankyo,Daiichi Sankyo,Industry
National Health Insurance Service Ilsan Hospital,National Health Insurance Service Ilsan Hospital,Hospital / medical center
Seagen Inc.,Seagen Inc.,Industry
The Affiliated Nanjing Drum Tower Hospital of Nanjing University Medical School,Nanjing University Medical School,Academic
"University Health Network, Toronto",University Health Network,Hospital / medical center
"Cogent Biosciences, Inc.",Cogent Biosciences,Industry
Merck Sharp & Dohme LLC,Merck Sharp & Dohme,Industry
Leiden University Medical Center,Leiden University Medical Center,Hospital / medical center
Mette Møller Handrup,Mette Møller Handrup,Individual
Sanofi,Sanofi,Industry
"Institute of Cancer Research, United Kingdom",Institute of Cancer Research,Research institute / foundation
Medical Research Council,Medical Research Council,Research institute / foundation
"University Hospital, Bordeaux",University Hospital Bordeaux,Hospital / medical center
AIO-Studien-gGmbH,AIO-Studien-gGmbH,Cooperative group / network
Hoffmann-La Roche,Hoffmann-La Roche,Industry
AstraZeneca,AstraZeneca,Industry
SynOx Therapeutics Limited,SynOx Therapeutics Limited,Industry
Hadassah Medical Organization,Hadassah Medical Organization,Hospital / medical center
Ottawa Hospital Research Institute,Ottawa Hospital Research Institute,Research institute / foundation
Brigham and Women's Hospital,Brigham and Women's Hospital,Hospital / medical center
Fudan University,Fudan University,Academic
Maastricht University Medical Center,Maastricht University Medical Center,Hospital / medical center
Centre Georges Francois Leclerc,Centre Georges Francois Leclerc,Hospital / medical center
Fudan University,Fudan University,Academic
Affiliated Cancer Hospital & Institute of Guangzhou Medical University,Guangzhou Medical University,Academic
First Affiliated Hospital of Fujian Medical University,Fujian Medical University,Academic
University of Edinburgh,University of Edinburgh,Academic
Finnish Breast Cancer Group,Finnish Breast Cancer Group,Cooperative group / network
Jakob Kristian Jakobsen,Jakob Kristian Jakobsen,Individual
Bristol-Myers Squibb,Bristol-Myers Squibb,Industry
Women's Hospital School Of Medicine Zhejiang University,Zhejiang University,Academic
Rennes University Hospital,Rennes University Hospital,Hospital / medical center
Byondis B.V.,Byondis B.V.,Industry
Sindh Institute of Urology and Transplantation,Sindh Institute of Urology and Transplantation,Hospital / medical center
Radiation Therapy Oncology Group,Radiation Therapy Oncology Group,Cooperative group / network
M.D. Anderson Cancer Center,MD Anderson Cancer Center,Hospital / medical center
Hoffmann-La Roche,Hoffmann-La Roche,Industry
AIO-Studien-gGmbH,AIO-Studien-gGmbH,Cooperative group / network
Hoffmann-La Roche,Hoffmann-La Roche,Industry
ITM Solucin GmbH,ITM Solucin GmbH,Industry
German AML Cooperative Group,German AML Cooperative Group,Cooperative group / network
Biocinese,Biocinese,Industry
UNICANCER,UNICANCER,Cooperative group / network
First Affiliated Hospital of Ningbo University,First Affiliated Hospital of Ningbo University,Hospital / medical center
Eastern Cooperative Oncology Group,Eastern Cooperative Oncology Group,Cooperative group / network
University College London Hospitals,University College London Hospitals,Hospital / medical center
Mayo Clinic,Mayo Clinic,Hospital / medical center
Gynecologic Oncology Group,Gynecologic Oncology Group,Cooperative group / network
Jonsson Comprehensive Cancer Center,Jonsson Comprehensive Cancer Center,Academic
Medical Research Council,Medical Research Council,Research institute / foundation
AstraZeneca,AstraZeneca,Industry
Peking Union Medical College Hospital,Peking Union Medical College Hospital,Hospital / medical center
Laboratorio Elea Phoenix S.A.,Laboratorio Elea Phoenix S.A.,Industry
Chunguang yang (101937),Chunguang Yang,Individual
Fudan University,Fudan University,Academic
Novartis Pharmaceuticals,Novartis Pharmaceuticals,Industry
Bayer,Bayer,Industry
Verity Pharmaceuticals Inc.,Verity Pharmaceuticals Inc.,Industry
Ludwig-Maximilians - University of Munich,Ludwig-Maximilians University of Munich,Academic
Novartis Pharmaceuticals,Novartis Pharmaceuticals,Industry
University of Miami,University of Miami,Academic
Seoul National University Hospital,Seoul National University Hospital,Hospital / medical center
Erasmus Medical Center,Erasmus Medical Center,Hospital / medical center
Cipla BioTec Pvt. Ltd.,Cipla BioTec Pvt. Ltd.,Industry
"Shanghai Cancer Hospital, China",Shanghai Cancer Hospital,Hospital / medical center
GERCOR - Multidisciplinary Oncology Cooperative Group,GERCOR - Multidisciplinary Oncology Cooperative Group,Cooperative group / network
"Queen Mary Hospital, Hong Kong","Queen Mary Hospital, Hong Kong",Hospital / medical center
Novartis Pharmaceuticals,Novartis Pharmaceuticals,Industry
National Cancer Institute (NCI),National Cancer Institute,Government / public agency
Zhejiang Cancer Hospital,Zhejiang Cancer Hospital,Hospital / medical center
Northwestern University,Northwestern University,Academic
M.D. Anderson Cancer Center,MD Anderson Cancer Center,Hospital / medical center
Institute for Cancer Prevention (IFCP),Institute for Cancer Prevention,Research institute / foundation
University of Sydney,University of Sydney,Academic
Region Örebro County,Region Örebro County,Government / public agency
University of South Florida,University of South Florida,Academic
Emory University,Emory University,Academic
Cancer Trials Ireland,Cancer Trials Ireland,Cooperative group / network
Professor Michael Bourke,Professor Michael Bourke,Individual
Radboud University Medical Center,Radboud University Medical Center,Hospital / medical center
Peking University People's Hospital,Peking University People's Hospital,Hospital / medical center
Endo Pharmaceuticals,Endo Pharmaceuticals,Industry
Swedish Orphan Biovitrum,Swedish Orphan Biovitrum,Industry
Jonsson Comprehensive Cancer Center,Jonsson Comprehensive Cancer Center,Academic
Novartis,Novartis,Industry
"Chipscreen Biosciences, Ltd.",Chipscreen Biosciences Ltd.,Industry
Ottawa Hospital Research Institute,Ottawa Hospital Research Institute,Research institute / foundation
Daiichi Sankyo,Daiichi Sankyo,Industry
Eisai Pharmaceuticals India Pvt. Ltd,Eisai Pharmaceuticals India Pvt. Ltd,Industry
Hoffmann-La Roche,Hoffmann-La Roche,Industry
"Minsk Scientific-Practical Center for Surgery, Transplantation and Hematology","Minsk Scientific-Practical Center for Surgery, Transplantation and Hematology",Hospital / medical center
Gilead Sciences,Gilead Sciences,Industry
"Suzhou Immunofoco Biotechnology Co., Ltd","Suzhou Immunofoco Biotechnology Co., Ltd",Industry
AHS Cancer Control Alberta,AHS Cancer Control Alberta,Government / public agency
"Il-Yang Pharm. Co., Ltd.","Il-Yang Pharm. Co., Ltd.",Industry
National Cancer Institute (NCI),National Cancer Institute,Government / public agency
Institut de Recherches Internationales Servier,Institut de Recherches Internationales Servier,Industry
UroGen Pharma Ltd.,UroGen Pharma Ltd.,Industry
"University of California, San Diego",University of California San Diego,Academic
"Shanghai Pulmonary Hospital, Shanghai, China",Shanghai Pulmonary Hospital,Hospital / medical center
Hoffmann-La Roche,Hoffmann-La Roche,Industry
"National Cancer Center, Korea",National Cancer Center Korea,Hospital / medical center
Fujian Cancer Hospital,Fujian Cancer Hospital,Hospital / medical center
Collaborative Group for Adrenocortical Carcinoma Treatment,Collaborative Group for Adrenocortical Carcinoma Treatment,Cooperative group / network
"Shanghai Jiaolian Drug Research and Development Co., Ltd","Shanghai Jiaolian Drug Research and Development Co., Ltd",Industry
Eastern Cooperative Oncology Group,Eastern Cooperative Oncology Group,Cooperative group / network
Peking Union Medical College Hospital,Peking Union Medical College Hospital,Hospital / medical center
"G1 Therapeutics, Inc.","G1 Therapeutics, Inc.",Industry
Cai Kailin,Cai Kailin,Individual
Amgen,Amgen,Industry
Veru Inc.,Veru Inc.,Industry
Mỹ Đức Hospital,Mỹ Đức Hospital,Hospital / medical center
National Cancer Institute (NCI),National Cancer Institute,Government / public agency
Shanghai Chest Hospital,Shanghai Chest Hospital,Hospital / medical center
"Johnson & Johnson Pharmaceutical Research & Development, L.L.C.",Johnson & Johnson Pharmaceutical Research & Development,Industry
The First Affiliated Hospital with Nanjing Medical University,The First Affiliated Hospital with Nanjing Medical University,Hospital / medical center
Alliance for Clinical Trials in Oncology,Alliance for Clinical Trials in Oncology,Cooperative group / network
Cairo University,Cairo University,Academic
University of Leicester,University of Leicester,Academic
Inovio Pharmaceuticals,Inovio Pharmaceuticals,Industry
GlaxoSmithKline,GlaxoSmithKline,Industry
Sun Yat-sen University,Sun Yat-sen University,Academic
Fudan University,Fudan University,Academic
Fred Hutchinson Cancer Center,Fred Hutchinson Cancer Center,Hospital / medical center
UNICANCER,UNICANCER,Cooperative group / network
Capital Medical University,Capital Medical University,Academic
Endo Pharmaceuticals,Endo Pharmaceuticals,Industry
Institut Paoli-Calmettes,Institut Paoli-Calmettes,Research institute / foundation
Amgen,Amgen,Industry
Stony Brook University,Stony Brook University,Academic
"Sol-Gel Technologies, Ltd.","Sol-Gel Technologies, Ltd.",Industry
"Sunshine Lake Pharma Co., Ltd.","Sunshine Lake Pharma Co., Ltd.",Industry
VA Puget Sound Health Care System,VA Puget Sound Health Care System,Government / public agency
Akeso,Akeso,Industry
"Jiangsu HengRui Medicine Co., Ltd.","Jiangsu HengRui Medicine Co., Ltd.",Industry
NSABP Foundation Inc,NSABP Foundation Inc,Research institute / foundation
Mount Vernon Cancer Centre at Mount Vernon Hospital,Mount Vernon Cancer Centre at Mount Vernon Hospital,Hospital / medical center
Ciusss de L'Est de l'Île de Montréal,Ciusss de L'Est de l'Île de Montréal,Hospital / medical center
Chinese Academy of Medical Sciences,Chinese Academy of Medical Sciences,Research institute / foundation
Eli Lilly and Company,Eli Lilly and Company,Industry
University of Rochester,University of Rochester,Academic
Helsinn Healthcare SA,Helsinn Healthcare SA,Industry
Gamida Cell -Teva Joint Venture Ltd.,Gamida Cell - Teva Joint Venture Ltd.,Industry
Women and Infants Hospital of Rhode Island,Women and Infants Hospital of Rhode Island,Hospital / medical center
Y-mAbs Therapeutics,Y-mAbs Therapeutics,Industry
Merck Sharp & Dohme LLC,Merck Sharp & Dohme LLC,Industry
Fudan University,Fudan University,Academic
Danish Cancer Society,Danish Cancer Society,Research institute / foundation
PregLem SA,PregLem SA,Industry
"University College, London",University College London,Academic
Monte Verde SA,Monte Verde SA,Industry
GERCOR - Multidisciplinary Oncology Cooperative Group,GERCOR,Cooperative group / network
"Genzyme, a Sanofi Company",Genzyme,Industry
Pfizer,Pfizer,Industry
University of Guadalajara,University of Guadalajara,Academic
Yin Li,Yin Li,Individual
